"X","user.self","sys.self","elapsed","user.child","sys.child","Set","Pattern","Mesh"
8,0.733999999999995,0.747999999999999,181.083,259.156,89.173,"Set2","Pattern8","Mesh36"
9,0.730999999999995,1.027,168.251,235.168,84.809,"Set2","Pattern9","Mesh36"
10,0.741,0.609999999999999,182.1,258.62,90.494,"Set2","Pattern10","Mesh36"
11,0.677999999999997,0.771000000000001,293.917,441.616,125.318,"Set3","Pattern11","Mesh36"
12,0.718999999999994,1.062,347.15,540.704,130.572,"Set3","Pattern12","Mesh36"
13,0.72399999999999,0.874000000000001,259.143,381.058,119.766,"Set3","Pattern13","Mesh36"
14,0.710999999999999,1.066,223.433,326.496999999999,105.756,"Set3","Pattern14","Mesh36"
15,0.672999999999988,0.920999999999999,249.069,354.296,126.202,"Set3","Pattern15","Mesh36"
16,0.676000000000002,0.974,176.854,240.978,96.702,"Set4","Pattern16","Mesh36"
17,0.646000000000001,0.609999999999999,155.062,216.384,79.8409999999999,"Set4","Pattern17","Mesh36"
18,0.667999999999992,0.651,191.117,266.943,100.735,"Set4","Pattern18","Mesh36"
19,0.670999999999992,0.627000000000002,191.043,261.700000000001,104.289,"Set4","Pattern19","Mesh36"
20,0.673999999999992,0.669,156.89,210.202,89.5630000000001,"Set4","Pattern20","Mesh36"
1,0.557,0.567,14.663,22.281,2.429,"Set1","Pattern1","Mesh4"
2,0.365,0.56,12.761,19.205,2.303,"Set1","Pattern2","Mesh4"
3,0.349,0.558,16.706,27.103,2.291,"Set1","Pattern3","Mesh4"
4,0.328999999999999,0.572,17.498,28.692,2.308,"Set1","Pattern4","Mesh4"
5,0.350000000000001,0.537,15.653,25.23,2.216,"Set1","Pattern5","Mesh4"
6,0.341000000000001,0.547,12.097,18.291,2.221,"Set2","Pattern6","Mesh4"
7,0.358000000000001,0.563,16.539,26.791,2.285,"Set2","Pattern7","Mesh4"
8,0.346,0.577,17.632,28.712,2.347,"Set2","Pattern8","Mesh4"
9,0.321,0.598999999999998,12.434,18.703,2.187,"Set2","Pattern9","Mesh4"
10,0.350000000000001,0.596,21.759,36.807,2.431,"Set2","Pattern10","Mesh4"
11,0.326000000000001,0.613999999999999,8.589,11.454,2.104,"Set3","Pattern11","Mesh4"
12,0.316000000000003,0.603,7.75700000000001,9.99200000000002,2.099,"Set3","Pattern12","Mesh4"
13,0.317,0.604000000000001,16.245,26.597,2.137,"Set3","Pattern13","Mesh4"
14,0.320999999999998,0.614000000000001,8.51600000000002,11.347,2.159,"Set3","Pattern14","Mesh4"
