"X","DIC","Set","Pattern","Mesh"
7,-7714.88422446728,"Set2","Pattern7","Mesh31"
8,-5687.74713352804,"Set2","Pattern8","Mesh31"
9,-3757.89475820255,"Set2","Pattern9","Mesh31"
10,-10851.0943582072,"Set2","Pattern10","Mesh31"
11,-262.117844492091,"Set3","Pattern11","Mesh31"
12,-280.440434809384,"Set3","Pattern12","Mesh31"
13,-357.532044222963,"Set3","Pattern13","Mesh31"
14,-358.738633120144,"Set3","Pattern14","Mesh31"
15,-414.029822589201,"Set3","Pattern15","Mesh31"
16,-128.672377177715,"Set4","Pattern16","Mesh31"
17,-604.59320087703,"Set4","Pattern17","Mesh31"
18,-361.756673919052,"Set4","Pattern18","Mesh31"
19,-189.998928431645,"Set4","Pattern19","Mesh31"
20,-729.896410135611,"Set4","Pattern20","Mesh31"
1,-5548.42465200084,"Set1","Pattern1","Mesh32"
2,-4993.39281797872,"Set1","Pattern2","Mesh32"
3,-6124.88653173549,"Set1","Pattern3","Mesh32"
4,-6258.70457047125,"Set1","Pattern4","Mesh32"
5,-5569.03625266879,"Set1","Pattern5","Mesh32"
6,-2885.37647381756,"Set2","Pattern6","Mesh32"
7,-7709.59110618691,"Set2","Pattern7","Mesh32"
8,-5685.43777237128,"Set2","Pattern8","Mesh32"
9,-3748.61798818227,"Set2","Pattern9","Mesh32"
10,-10854.6579481237,"Set2","Pattern10","Mesh32"
11,-262.074106046841,"Set3","Pattern11","Mesh32"
12,-280.440438040288,"Set3","Pattern12","Mesh32"
13,-357.91088705234,"Set3","Pattern13","Mesh32"
14,-358.717229004003,"Set3","Pattern14","Mesh32"
15,-414.124100277665,"Set3","Pattern15","Mesh32"
16,-129.186522434499,"Set4","Pattern16","Mesh32"
17,-605.114268124085,"Set4","Pattern17","Mesh32"
18,-361.305020581279,"Set4","Pattern18","Mesh32"
19,-190.140789216192,"Set4","Pattern19","Mesh32"
20,-731.463716864482,"Set4","Pattern20","Mesh32"
1,-5568.05808669533,"Set1","Pattern1","Mesh33"
2,-5009.67953100085,"Set1","Pattern2","Mesh33"
3,-6139.47272679063,"Set1","Pattern3","Mesh33"
4,-6267.16568272986,"Set1","Pattern4","Mesh33"
5,-5583.46683758646,"Set1","Pattern5","Mesh33"
6,-2892.07958522932,"Set2","Pattern6","Mesh33"
7,-7723.30265842656,"Set2","Pattern7","Mesh33"
8,-5690.45836628326,"Set2","Pattern8","Mesh33"
9,-3758.27135238535,"Set2","Pattern9","Mesh33"
10,-10862.0458866928,"Set2","Pattern10","Mesh33"
11,-262.242635183612,"Set3","Pattern11","Mesh33"
12,-280.554410791423,"Set3","Pattern12","Mesh33"
13,-358.966529552376,"Set3","Pattern13","Mesh33"
14,-358.814897831185,"Set3","Pattern14","Mesh33"
15,-414.915547411691,"Set3","Pattern15","Mesh33"
16,-128.94788334881,"Set4","Pattern16","Mesh33"
17,-605.602093654369,"Set4","Pattern17","Mesh33"
18,-361.567112586408,"Set4","Pattern18","Mesh33"
19,-189.961843866944,"Set4","Pattern19","Mesh33"
20,-730.704653709618,"Set4","Pattern20","Mesh33"
1,-5567.66696528383,"Set1","Pattern1","Mesh34"
2,-5009.82161010533,"Set1","Pattern2","Mesh34"
3,-6139.16395974572,"Set1","Pattern3","Mesh34"
4,-6267.32999070842,"Set1","Pattern4","Mesh34"
5,-5583.51398018434,"Set1","Pattern5","Mesh34"
6,-2892.40789602199,"Set2","Pattern6","Mesh34"
7,-7723.43713267183,"Set2","Pattern7","Mesh34"
8,-5690.46429206689,"Set2","Pattern8","Mesh34"
9,-3758.54229189909,"Set2","Pattern9","Mesh34"
10,-10861.490783999,"Set2","Pattern10","Mesh34"
11,-262.290681285038,"Set3","Pattern11","Mesh34"
12,-280.538545524708,"Set3","Pattern12","Mesh34"
13,-359.517082849785,"Set3","Pattern13","Mesh34"
14,-358.782100405734,"Set3","Pattern14","Mesh34"
15,-414.414307630108,"Set3","Pattern15","Mesh34"
16,-128.728215987875,"Set4","Pattern16","Mesh34"
17,-605.016919207538,"Set4","Pattern17","Mesh34"
18,-361.438168736202,"Set4","Pattern18","Mesh34"
19,-189.389782367567,"Set4","Pattern19","Mesh34"
20,-730.993177197011,"Set4","Pattern20","Mesh34"
1,-5551.49361036774,"Set1","Pattern1","Mesh35"
2,-4997.89205014299,"Set1","Pattern2","Mesh35"
3,-6127.88879155336,"Set1","Pattern3","Mesh35"
4,-6262.54753364072,"Set1","Pattern4","Mesh35"
5,-5560.17338125868,"Set1","Pattern5","Mesh35"
6,-2886.08726820062,"Set2","Pattern6","Mesh35"
7,-7711.38330173029,"Set2","Pattern7","Mesh35"
8,-5683.75166143982,"Set2","Pattern8","Mesh35"
9,-3750.22181933053,"Set2","Pattern9","Mesh35"
10,-10882.362738689,"Set2","Pattern10","Mesh35"
11,-261.678230494321,"Set3","Pattern11","Mesh35"
12,-280.006628352425,"Set3","Pattern12","Mesh35"
13,-356.080732131253,"Set3","Pattern13","Mesh35"
14,-358.37027472528,"Set3","Pattern14","Mesh35"
15,-409.893221762449,"Set3","Pattern15","Mesh35"
16,-126.165388430006,"Set4","Pattern16","Mesh35"
17,-598.391739087376,"Set4","Pattern17","Mesh35"
18,-358.784426352842,"Set4","Pattern18","Mesh35"
19,-185.290815547355,"Set4","Pattern19","Mesh35"
20,-722.026029403894,"Set4","Pattern20","Mesh35"
1,-5549.57564167056,"Set1","Pattern1","Mesh36"
2,-4993.48423851334,"Set1","Pattern2","Mesh36"
3,-6130.19369487399,"Set1","Pattern3","Mesh36"
4,-6260.1721468382,"Set1","Pattern4","Mesh36"
5,-5568.8570992962,"Set1","Pattern5","Mesh36"
6,-2886.31179152975,"Set2","Pattern6","Mesh36"
7,-7712.19751055609,"Set2","Pattern7","Mesh36"
8,-5683.9425660807,"Set2","Pattern8","Mesh36"
9,-3748.71652121183,"Set2","Pattern9","Mesh36"
10,-10852.7149758985,"Set2","Pattern10","Mesh36"
11,-261.605879160227,"Set3","Pattern11","Mesh36"
12,-280.025064846677,"Set3","Pattern12","Mesh36"
13,-356.227163685003,"Set3","Pattern13","Mesh36"
14,-358.366077491768,"Set3","Pattern14","Mesh36"
15,-411.59157350467,"Set3","Pattern15","Mesh36"
16,-126.261114854608,"Set4","Pattern16","Mesh36"
17,-597.78678622144,"Set4","Pattern17","Mesh36"
18,-358.570181979211,"Set4","Pattern18","Mesh36"
19,-185.470662185746,"Set4","Pattern19","Mesh36"
20,-723.09394757274,"Set4","Pattern20","Mesh36"
1,-5483.290214452,"Set1","Pattern1","Mesh4"
2,-4899.5533144079,"Set1","Pattern2","Mesh4"
3,-6141.79267085274,"Set1","Pattern3","Mesh4"
4,-6280.470371547,"Set1","Pattern4","Mesh4"
5,-5530.84924295979,"Set1","Pattern5","Mesh4"
6,-2866.92902976981,"Set2","Pattern6","Mesh4"
7,-8093.02465286424,"Set2","Pattern7","Mesh4"
8,-5708.71859385712,"Set2","Pattern8","Mesh4"
9,-3726.85123083332,"Set2","Pattern9","Mesh4"
10,-11511.6222352053,"Set2","Pattern10","Mesh4"
11,-261.014668410415,"Set3","Pattern11","Mesh4"
12,-279.456706722126,"Set3","Pattern12","Mesh4"
13,-349.167010139205,"Set3","Pattern13","Mesh4"
14,-358.435888918603,"Set3","Pattern14","Mesh4"
15,-400.988928848129,"Set3","Pattern15","Mesh4"
16,-119.832925935854,"Set4","Pattern16","Mesh4"
17,-568.135500872595,"Set4","Pattern17","Mesh4"
18,-345.755333281527,"Set4","Pattern18","Mesh4"
19,-171.836482561961,"Set4","Pattern19","Mesh4"
20,-683.525043953086,"Set4","Pattern20","Mesh4"
1,-5420.13312724719,"Set1","Pattern1","Mesh5"
2,-4918.13284987753,"Set1","Pattern2","Mesh5"
3,-6067.87530458073,"Set1","Pattern3","Mesh5"
4,-6141.81278267388,"Set1","Pattern4","Mesh5"
5,-5465.8089534438,"Set1","Pattern5","Mesh5"
6,-2858.45937282181,"Set2","Pattern6","Mesh5"
7,-7936.49820070959,"Set2","Pattern7","Mesh5"
8,-5640.74444358649,"Set2","Pattern8","Mesh5"
9,-3693.89327970997,"Set2","Pattern9","Mesh5"
10,-11289.463539825,"Set2","Pattern10","Mesh5"
11,-261.151893798606,"Set3","Pattern11","Mesh5"
12,-279.577830608958,"Set3","Pattern12","Mesh5"
13,-350.566498165242,"Set3","Pattern13","Mesh5"
14,-358.448405293801,"Set3","Pattern14","Mesh5"
15,-401.345656900085,"Set3","Pattern15","Mesh5"
16,-124.847715302561,"Set4","Pattern16","Mesh5"
17,-582.7797724821,"Set4","Pattern17","Mesh5"
18,-351.11258149194,"Set4","Pattern18","Mesh5"
19,-176.286883347634,"Set4","Pattern19","Mesh5"
20,-705.7993006823,"Set4","Pattern20","Mesh5"
1,-5409.98768343293,"Set1","Pattern1","Mesh6"
2,-4911.26802340121,"Set1","Pattern2","Mesh6"
3,-6051.9097439208,"Set1","Pattern3","Mesh6"
4,-6136.64772091535,"Set1","Pattern4","Mesh6"
5,-5468.52876664625,"Set1","Pattern5","Mesh6"
6,-2857.39934632422,"Set2","Pattern6","Mesh6"
7,-7795.28319290861,"Set2","Pattern7","Mesh6"
8,-5637.93977921619,"Set2","Pattern8","Mesh6"
9,-3689.45465379377,"Set2","Pattern9","Mesh6"
10,-11347.2069075932,"Set2","Pattern10","Mesh6"
11,-261.017617793066,"Set3","Pattern11","Mesh6"
12,-279.615319440053,"Set3","Pattern12","Mesh6"
13,-350.383665934306,"Set3","Pattern13","Mesh6"
14,-358.437501431829,"Set3","Pattern14","Mesh6"
15,-402.177534283979,"Set3","Pattern15","Mesh6"
16,-124.892521116438,"Set4","Pattern16","Mesh6"
17,-582.907038828146,"Set4","Pattern17","Mesh6"
18,-352.860004725722,"Set4","Pattern18","Mesh6"
19,-177.524913516444,"Set4","Pattern19","Mesh6"
20,-703.768454604727,"Set4","Pattern20","Mesh6"
1,-5434.39778789173,"Set1","Pattern1","Mesh7"
2,-4918.35616698242,"Set1","Pattern2","Mesh7"
3,-6061.46863053894,"Set1","Pattern3","Mesh7"
4,-6124.69878979262,"Set1","Pattern4","Mesh7"
5,-5462.41462979392,"Set1","Pattern5","Mesh7"
6,-2858.8484794198,"Set2","Pattern6","Mesh7"
7,-7834.71694848816,"Set2","Pattern7","Mesh7"
8,-5639.89646577462,"Set2","Pattern8","Mesh7"
9,-3714.19386013216,"Set2","Pattern9","Mesh7"
10,-11363.8767153528,"Set2","Pattern10","Mesh7"
11,-261.601013702788,"Set3","Pattern11","Mesh7"
12,-279.510411996756,"Set3","Pattern12","Mesh7"
13,-350.474315770813,"Set3","Pattern13","Mesh7"
14,-358.416890048764,"Set3","Pattern14","Mesh7"
15,-402.199875441049,"Set3","Pattern15","Mesh7"
16,-124.292369587686,"Set4","Pattern16","Mesh7"
17,-581.83173975563,"Set4","Pattern17","Mesh7"
18,-353.338625902414,"Set4","Pattern18","Mesh7"
19,-176.79700254723,"Set4","Pattern19","Mesh7"
20,-702.563600631227,"Set4","Pattern20","Mesh7"
1,-5409.98704244512,"Set1","Pattern1","Mesh8"
2,-4914.41403719778,"Set1","Pattern2","Mesh8"
3,-6057.28437725656,"Set1","Pattern3","Mesh8"
4,-6140.09351239615,"Set1","Pattern4","Mesh8"
5,-5471.68134993925,"Set1","Pattern5","Mesh8"
6,-2858.22049755317,"Set2","Pattern6","Mesh8"
7,-7819.9722757959,"Set2","Pattern7","Mesh8"
8,-5635.7958419815,"Set2","Pattern8","Mesh8"
9,-3697.27637190692,"Set2","Pattern9","Mesh8"
10,-11327.957701574,"Set2","Pattern10","Mesh8"
11,-261.672561064149,"Set3","Pattern11","Mesh8"
12,-279.6207356812,"Set3","Pattern12","Mesh8"
13,-350.461422743908,"Set3","Pattern13","Mesh8"
14,-358.443750034771,"Set3","Pattern14","Mesh8"
15,-401.476390369891,"Set3","Pattern15","Mesh8"
16,-124.049229922817,"Set4","Pattern16","Mesh8"
17,-584.772983174332,"Set4","Pattern17","Mesh8"
18,-351.663219323399,"Set4","Pattern18","Mesh8"
19,-177.629625322684,"Set4","Pattern19","Mesh8"
20,-703.544424102413,"Set4","Pattern20","Mesh8"
1,-5412.61187175712,"Set1","Pattern1","Mesh9"
2,-4896.51990281523,"Set1","Pattern2","Mesh9"
3,-6083.73659913682,"Set1","Pattern3","Mesh9"
4,-6126.9385325641,"Set1","Pattern4","Mesh9"
5,-5459.62283814742,"Set1","Pattern5","Mesh9"
6,-2859.31801751928,"Set2","Pattern6","Mesh9"
7,-7938.19964256479,"Set2","Pattern7","Mesh9"
8,-5637.64180705255,"Set2","Pattern8","Mesh9"
9,-3704.17361995976,"Set2","Pattern9","Mesh9"
10,-11471.2736579936,"Set2","Pattern10","Mesh9"
11,-261.353477157678,"Set3","Pattern11","Mesh9"
12,-279.37468930052,"Set3","Pattern12","Mesh9"
13,-349.969620271539,"Set3","Pattern13","Mesh9"
14,-358.393404500964,"Set3","Pattern14","Mesh9"
15,-401.064993607982,"Set3","Pattern15","Mesh9"
16,-123.615021403407,"Set4","Pattern16","Mesh9"
17,-579.064673662127,"Set4","Pattern17","Mesh9"
18,-350.325980703788,"Set4","Pattern18","Mesh9"
19,-172.762922165312,"Set4","Pattern19","Mesh9"
20,-695.806921600971,"Set4","Pattern20","Mesh9"
