"X","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld","True","Set","Pattern","Mesh"
1,4.33341360092163,0.153630077838898,4.00514407989053,4.34222184700759,4.6134447235537,4.35596704483032,0.000924911382906552,4,"Set1","Pattern1","Mesh1"
2,4.35928678512573,1.01068890094757,2.31729808381679,4.36113414207461,6.3684549045178,4.36434745788574,0.00583112991471602,4,"Set1","Pattern2","Mesh1"
3,4.47926330566406,0.140371188521385,4.19350250027514,4.48233645534399,4.74888186096789,4.48749399185181,0.00028801536079516,4,"Set1","Pattern3","Mesh1"
4,4.46368408203125,0.342044830322266,3.77374738361624,4.46789211998821,5.13410208777619,4.47412157058716,0.000799121859095794,4,"Set1","Pattern4","Mesh1"
5,4.41161394119263,0.0854416713118553,4.23976525724351,4.41250563148024,4.57864320271104,4.41444110870361,1.20961030975505e-06,4,"Set1","Pattern5","Mesh1"
6,3.72548985481262,0.736887395381927,2.22538230068043,3.72959454832142,5.21009414436371,3.73715782165527,0.00269272578551403,4,"Set2","Pattern6","Mesh1"
7,4.04510354995728,0.49737536907196,3.02394578942142,4.04976142530317,5.04367684804768,4.05835247039795,6.07139786415302e-05,4,"Set2","Pattern7","Mesh1"
8,4.35617017745972,0.472573578357697,3.42345655216994,4.35855871166501,5.28022036713815,4.36321306228638,0.00638800187846827,4,"Set2","Pattern8","Mesh1"
9,3.96521091461182,0.30938732624054,3.34027164694411,3.96516293353038,4.59026104286178,3.9652988910675,0.000114480800415252,4,"Set2","Pattern9","Mesh1"
10,4.17661142349243,0.663074135780334,2.82585312738183,4.17969888992832,5.51034542028234,4.18514633178711,0.0003512491343904,4,"Set2","Pattern10","Mesh1"
11,2.3504364490509,0.244305938482285,1.8290003935087,2.35833918866738,2.81699059105429,2.36647081375122,1.46835509308061e-05,2,"Set3","Pattern11","Mesh1"
12,2.39798164367676,0.272782474756241,2.03995041098251,2.40167362435761,2.72250758956442,2.40759754180908,0.308062692798963,2,"Set3","Pattern12","Mesh1"
13,2.51813793182373,0.287404626607895,2.106379149517,2.52596212688673,2.84976909440908,2.53524827957153,0.547953237541311,2,"Set3","Pattern13","Mesh1"
14,2.55088448524475,0.112752504646778,2.33535551205478,2.55325548509439,2.75156598533958,2.55732083320618,0.000197503817606858,2,"Set3","Pattern14","Mesh1"
15,2.60095500946045,0.163324803113937,2.30742146974297,2.60902493237499,2.82947209436322,2.6181526184082,0.646006108114885,2,"Set3","Pattern15","Mesh1"
16,1.73515450954437,0.778617918491364,0.19819584443391,1.75530591933569,3.22837788639571,1.79985964298248,0.00452637751890547,2,"Set4","Pattern16","Mesh1"
17,2.27870273590088,0.73287957906723,0.740040110135312,2.29962661218107,3.72700866564477,2.33539581298828,0.00274591488969435,2,"Set4","Pattern17","Mesh1"
18,2.42630887031555,0.62757533788681,1.21002414135214,2.45228563039601,3.5850178048854,2.49049496650696,0.018244483870017,2,"Set4","Pattern18","Mesh1"
19,2.05333590507507,0.307859748601913,1.45315847023379,2.07370005087786,2.53768559332218,2.10224556922913,0.0338869354548011,2,"Set4","Pattern19","Mesh1"
20,2.00345897674561,0.948064684867859,0.0233059534699795,2.02104844452832,3.90468169564548,2.05232381820679,0.00119768654818472,2,"Set4","Pattern20","Mesh1"
1,4.30129528045654,0.151205390691757,3.97080781301863,4.31138976600506,4.57520133668989,4.3273754119873,0.00238800143197843,4,"Set1","Pattern1","Mesh10"
2,4.35223960876465,0.420497298240662,3.58091280134757,4.35168491411411,5.12692393573721,4.3523211479187,0.0388640705639921,4,"Set1","Pattern2","Mesh10"
3,4.46250820159912,0.141088232398033,4.17260357327473,4.46584471192664,4.7343023234992,4.47113561630249,0.00314992511474601,4,"Set1","Pattern3","Mesh10"
4,4.44328880310059,0.234887540340424,3.96925152075739,4.44605436770604,4.90411943901664,4.45081901550293,0.000532068721069753,4,"Set1","Pattern4","Mesh10"
5,4.39847421646118,0.0924258753657341,4.21173127471041,4.39955408100922,4.57934702778333,4.4016752243042,0.000356940670481818,4,"Set1","Pattern5","Mesh10"
6,3.72718858718872,0.852761685848236,1.98100994213411,3.73131765159771,5.45772372254379,3.73874115943909,0.00452050512163356,4,"Set2","Pattern6","Mesh10"
7,4.00196886062622,0.659347176551819,2.65091398767585,4.00684469516448,5.32860054170075,4.01563882827759,0.000906709133843591,4,"Set2","Pattern7","Mesh10"
8,4.32010173797607,0.328098088502884,3.65680068047339,4.32378593146814,4.96585680325223,4.3302845954895,0.00555338464515841,4,"Set2","Pattern8","Mesh10"
9,3.91901278495789,0.333809942007065,3.24069557758337,3.92104692691849,4.58660182985601,3.92450571060181,0.00124879584358887,4,"Set2","Pattern9","Mesh10"
10,4.13022136688232,0.765637636184692,2.56167022940044,4.13351784300873,5.6808462643693,4.13914632797241,0.00106495125774064,4,"Set2","Pattern10","Mesh10"
11,2.3464994430542,0.233524814248085,1.85307022913958,2.35482534867233,2.78800822046615,2.36472702026367,0.0204511419300827,2,"Set3","Pattern11","Mesh10"
12,2.40076041221619,0.109388068318367,2.17831118990445,2.40320054326007,2.60924366690223,2.40793228149414,7.77811923716914e-06,2,"Set3","Pattern12","Mesh10"
13,2.52093696594238,0.161463603377342,2.20717700005976,2.52980799236938,2.75978479074876,2.53847146034241,0.181365861283236,2,"Set3","Pattern13","Mesh10"
14,2.55067920684814,0.0979859605431557,2.35211841081252,2.5527566867081,2.73742650460351,2.55670022964478,2.05268172275843e-06,2,"Set3","Pattern14","Mesh10"
