"X","WAIC","Set","Pattern","Mesh"
18,-343.347525043687,"Set4","Pattern18","Mesh13"
19,-170.437072231607,"Set4","Pattern19","Mesh13"
20,-651.968539416372,"Set4","Pattern20","Mesh13"
1,-4962.84640623191,"Set1","Pattern1","Mesh14"
2,-4595.88383226395,"Set1","Pattern2","Mesh14"
3,-5695.87008287637,"Set1","Pattern3","Mesh14"
4,-5652.79254698388,"Set1","Pattern4","Mesh14"
5,-5051.00195432344,"Set1","Pattern5","Mesh14"
6,-2733.90397693879,"Set2","Pattern6","Mesh14"
7,-6864.09374003082,"Set2","Pattern7","Mesh14"
8,-5328.1766566197,"Set2","Pattern8","Mesh14"
9,-3392.02557583005,"Set2","Pattern9","Mesh14"
10,-9732.92414714532,"Set2","Pattern10","Mesh14"
11,-258.059104581145,"Set3","Pattern11","Mesh14"
12,-277.388457326572,"Set3","Pattern12","Mesh14"
13,-343.758362997956,"Set3","Pattern13","Mesh14"
14,-356.510915424472,"Set3","Pattern14","Mesh14"
15,-394.218504675556,"Set3","Pattern15","Mesh14"
16,-120.977187868696,"Set4","Pattern16","Mesh14"
17,-549.864637752724,"Set4","Pattern17","Mesh14"
18,-343.723912198403,"Set4","Pattern18","Mesh14"
19,-170.984676172381,"Set4","Pattern19","Mesh14"
20,-656.193494059755,"Set4","Pattern20","Mesh14"
1,-4931.56866046103,"Set1","Pattern1","Mesh15"
2,-4591.71732262043,"Set1","Pattern2","Mesh15"
3,-5705.40010191492,"Set1","Pattern3","Mesh15"
4,-5601.17681881014,"Set1","Pattern4","Mesh15"
5,-5051.1894833331,"Set1","Pattern5","Mesh15"
6,-2718.75744030103,"Set2","Pattern6","Mesh15"
7,-6877.855768481,"Set2","Pattern7","Mesh15"
8,-5316.40203845502,"Set2","Pattern8","Mesh15"
9,-3403.24228281512,"Set2","Pattern9","Mesh15"
10,-9696.52106490738,"Set2","Pattern10","Mesh15"
11,-258.145249315957,"Set3","Pattern11","Mesh15"
12,-277.083234015338,"Set3","Pattern12","Mesh15"
13,-343.506177726547,"Set3","Pattern13","Mesh15"
14,-356.494964662294,"Set3","Pattern14","Mesh15"
15,-393.664973645984,"Set3","Pattern15","Mesh15"
16,-120.076246766397,"Set4","Pattern16","Mesh15"
17,-549.514283929857,"Set4","Pattern17","Mesh15"
18,-343.126989852917,"Set4","Pattern18","Mesh15"
19,-173.710736759857,"Set4","Pattern19","Mesh15"
20,-647.74374931426,"Set4","Pattern20","Mesh15"
1,-4960.09342829697,"Set1","Pattern1","Mesh16"
2,-4631.54993452364,"Set1","Pattern2","Mesh16"
3,-5684.38185131849,"Set1","Pattern3","Mesh16"
4,-5663.31379725155,"Set1","Pattern4","Mesh16"
5,-5058.70184522337,"Set1","Pattern5","Mesh16"
6,-2739.9958561101,"Set2","Pattern6","Mesh16"
7,-6888.65562307824,"Set2","Pattern7","Mesh16"
8,-5334.7483638511,"Set2","Pattern8","Mesh16"
9,-3420.14982351319,"Set2","Pattern9","Mesh16"
10,-9715.45899233482,"Set2","Pattern10","Mesh16"
11,-258.221496151841,"Set3","Pattern11","Mesh16"
12,-277.555455099132,"Set3","Pattern12","Mesh16"
13,-344.166414941928,"Set3","Pattern13","Mesh16"
14,-356.632600180724,"Set3","Pattern14","Mesh16"
15,-395.149721531351,"Set3","Pattern15","Mesh16"
16,-120.820718556453,"Set4","Pattern16","Mesh16"
17,-551.317835176475,"Set4","Pattern17","Mesh16"
18,-344.651216794148,"Set4","Pattern18","Mesh16"
19,-174.685736851596,"Set4","Pattern19","Mesh16"
20,-654.428995349439,"Set4","Pattern20","Mesh16"
1,-5141.38648660292,"Set1","Pattern1","Mesh17"
2,-4704.85589918441,"Set1","Pattern2","Mesh17"
3,-5819.31445911717,"Set1","Pattern3","Mesh17"
4,-5779.81323680858,"Set1","Pattern4","Mesh17"
5,-5195.87285023287,"Set1","Pattern5","Mesh17"
6,-2795.34368518257,"Set2","Pattern6","Mesh17"
7,-7140.63500038313,"Set2","Pattern7","Mesh17"
8,-5476.31640744215,"Set2","Pattern8","Mesh17"
9,-3544.47452560198,"Set2","Pattern9","Mesh17"
10,-10008.3609119902,"Set2","Pattern10","Mesh17"
11,-259.762233289546,"Set3","Pattern11","Mesh17"
12,-278.837271463269,"Set3","Pattern12","Mesh17"
13,-348.346447941688,"Set3","Pattern13","Mesh17"
14,-357.574859012357,"Set3","Pattern14","Mesh17"
15,-399.681510161935,"Set3","Pattern15","Mesh17"
16,-125.190601611964,"Set4","Pattern16","Mesh17"
17,-574.647721787077,"Set4","Pattern17","Mesh17"
18,-352.378071979992,"Set4","Pattern18","Mesh17"
19,-181.448673906971,"Set4","Pattern19","Mesh17"
20,-684.131241142436,"Set4","Pattern20","Mesh17"
1,-5130.40292378593,"Set1","Pattern1","Mesh18"
2,-4699.37817349074,"Set1","Pattern2","Mesh18"
3,-5810.69349367835,"Set1","Pattern3","Mesh18"
4,-5778.81286673667,"Set1","Pattern4","Mesh18"
5,-5203.00714303168,"Set1","Pattern5","Mesh18"
6,-2785.38759099118,"Set2","Pattern6","Mesh18"
7,-7121.10927428921,"Set2","Pattern7","Mesh18"
8,-5460.82314377502,"Set2","Pattern8","Mesh18"
9,-3535.15918135788,"Set2","Pattern9","Mesh18"
10,-10025.8186744354,"Set2","Pattern10","Mesh18"
11,-259.666131213493,"Set3","Pattern11","Mesh18"
12,-278.744090180183,"Set3","Pattern12","Mesh18"
13,-347.771496301207,"Set3","Pattern13","Mesh18"
14,-357.572114350237,"Set3","Pattern14","Mesh18"
15,-399.618511186171,"Set3","Pattern15","Mesh18"
16,-124.83178325386,"Set4","Pattern16","Mesh18"
17,-572.834989053328,"Set4","Pattern17","Mesh18"
18,-352.097355446211,"Set4","Pattern18","Mesh18"
19,-180.34454347429,"Set4","Pattern19","Mesh18"
20,-685.703132494092,"Set4","Pattern20","Mesh18"
1,-5124.36553703583,"Set1","Pattern1","Mesh19"
2,-4697.57392382394,"Set1","Pattern2","Mesh19"
3,-5799.48372722073,"Set1","Pattern3","Mesh19"
4,-5765.19127004681,"Set1","Pattern4","Mesh19"
5,-5185.24875118202,"Set1","Pattern5","Mesh19"
6,-2783.34373336502,"Set2","Pattern6","Mesh19"
7,-7140.97679377228,"Set2","Pattern7","Mesh19"
8,-5464.66305163407,"Set2","Pattern8","Mesh19"
9,-3546.36409403973,"Set2","Pattern9","Mesh19"
10,-9988.26581131949,"Set2","Pattern10","Mesh19"
11,-259.731172111226,"Set3","Pattern11","Mesh19"
12,-278.809628992415,"Set3","Pattern12","Mesh19"
13,-348.594432629575,"Set3","Pattern13","Mesh19"
14,-357.537283982995,"Set3","Pattern14","Mesh19"
15,-400.017163194469,"Set3","Pattern15","Mesh19"
16,-124.45826105057,"Set4","Pattern16","Mesh19"
17,-575.606642703759,"Set4","Pattern17","Mesh19"
18,-351.92517070793,"Set4","Pattern18","Mesh19"
19,-181.47495692122,"Set4","Pattern19","Mesh19"
20,-682.161283384233,"Set4","Pattern20","Mesh19"
1,-4746.48005209852,"Set1","Pattern1","Mesh2"
2,-4611.40209150451,"Set1","Pattern2","Mesh2"
3,-5334.74707075956,"Set1","Pattern3","Mesh2"
4,-5469.80958662257,"Set1","Pattern4","Mesh2"
5,-4832.74783698067,"Set1","Pattern5","Mesh2"
6,-2512.88257929302,"Set2","Pattern6","Mesh2"
7,-6310.56174798217,"Set2","Pattern7","Mesh2"
8,-4957.62158769885,"Set2","Pattern8","Mesh2"
9,-3059.73391357612,"Set2","Pattern9","Mesh2"
10,-9020.45468654512,"Set2","Pattern10","Mesh2"
11,-253.419206713296,"Set3","Pattern11","Mesh2"
12,-273.521355583553,"Set3","Pattern12","Mesh2"
13,-339.232200509027,"Set3","Pattern13","Mesh2"
14,-352.411782244727,"Set3","Pattern14","Mesh2"
15,-390.828904034933,"Set3","Pattern15","Mesh2"
16,-102.649071767918,"Set4","Pattern16","Mesh2"
17,-465.972302352488,"Set4","Pattern17","Mesh2"
18,-315.874252242549,"Set4","Pattern18","Mesh2"
19,-153.209900188899,"Set4","Pattern19","Mesh2"
20,-558.892606997227,"Set4","Pattern20","Mesh2"
1,-5118.44869613449,"Set1","Pattern1","Mesh20"
2,-4684.60827250974,"Set1","Pattern2","Mesh20"
3,-5812.53864660639,"Set1","Pattern3","Mesh20"
4,-5792.07390450582,"Set1","Pattern4","Mesh20"
5,-5178.40680854144,"Set1","Pattern5","Mesh20"
6,-2790.32089755515,"Set2","Pattern6","Mesh20"
7,-7118.34695876307,"Set2","Pattern7","Mesh20"
8,-5460.9303368307,"Set2","Pattern8","Mesh20"
9,-3530.94284269339,"Set2","Pattern9","Mesh20"
10,-9995.36554294826,"Set2","Pattern10","Mesh20"
11,-259.75522042172,"Set3","Pattern11","Mesh20"
12,-278.723865976842,"Set3","Pattern12","Mesh20"
13,-348.364092638142,"Set3","Pattern13","Mesh20"
14,-357.526999234215,"Set3","Pattern14","Mesh20"
15,-399.874400871718,"Set3","Pattern15","Mesh20"
16,-124.897416352858,"Set4","Pattern16","Mesh20"
17,-573.638302284378,"Set4","Pattern17","Mesh20"
18,-352.03493552615,"Set4","Pattern18","Mesh20"
19,-181.169620823645,"Set4","Pattern19","Mesh20"
20,-681.189066773044,"Set4","Pattern20","Mesh20"
1,-5141.77373488373,"Set1","Pattern1","Mesh21"
2,-4704.37530527293,"Set1","Pattern2","Mesh21"
3,-5820.71650595155,"Set1","Pattern3","Mesh21"
4,-5780.9664519917,"Set1","Pattern4","Mesh21"
5,-5197.06324475429,"Set1","Pattern5","Mesh21"
6,-2794.9622022198,"Set2","Pattern6","Mesh21"
7,-7140.5600719965,"Set2","Pattern7","Mesh21"
8,-5476.13391878286,"Set2","Pattern8","Mesh21"
9,-3544.46225536464,"Set2","Pattern9","Mesh21"
10,-10008.4168275189,"Set2","Pattern10","Mesh21"
11,-259.769407383515,"Set3","Pattern11","Mesh21"
12,-278.834248015464,"Set3","Pattern12","Mesh21"
13,-348.959179616022,"Set3","Pattern13","Mesh21"
14,-357.582813115065,"Set3","Pattern14","Mesh21"
15,-400.101693130381,"Set3","Pattern15","Mesh21"
16,-125.158814607796,"Set4","Pattern16","Mesh21"
17,-574.61673525305,"Set4","Pattern17","Mesh21"
18,-352.387829350737,"Set4","Pattern18","Mesh21"
19,-181.435513729769,"Set4","Pattern19","Mesh21"
20,-684.134263136284,"Set4","Pattern20","Mesh21"
1,-5130.45171268323,"Set1","Pattern1","Mesh22"
2,-4699.0751490523,"Set1","Pattern2","Mesh22"
3,-5811.77719522264,"Set1","Pattern3","Mesh22"
4,-5777.99888107803,"Set1","Pattern4","Mesh22"
5,-5204.03222218686,"Set1","Pattern5","Mesh22"
6,-2785.12017467163,"Set2","Pattern6","Mesh22"
7,-7120.93949728288,"Set2","Pattern7","Mesh22"
8,-5460.5595613457,"Set2","Pattern8","Mesh22"
9,-3535.00729555485,"Set2","Pattern9","Mesh22"
10,-10025.3238393796,"Set2","Pattern10","Mesh22"
11,-259.666320970437,"Set3","Pattern11","Mesh22"
12,-278.747160749895,"Set3","Pattern12","Mesh22"
13,-347.718331300705,"Set3","Pattern13","Mesh22"
14,-357.565559280836,"Set3","Pattern14","Mesh22"
15,-399.660499549725,"Set3","Pattern15","Mesh22"
16,-124.849503160509,"Set4","Pattern16","Mesh22"
17,-572.840169325286,"Set4","Pattern17","Mesh22"
18,-352.157151145154,"Set4","Pattern18","Mesh22"
19,-180.294393423216,"Set4","Pattern19","Mesh22"
20,-685.673257124577,"Set4","Pattern20","Mesh22"
1,-5124.44452571344,"Set1","Pattern1","Mesh23"
2,-4697.60631973815,"Set1","Pattern2","Mesh23"
3,-5799.41117749339,"Set1","Pattern3","Mesh23"
4,-5765.35551537127,"Set1","Pattern4","Mesh23"
